Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,1,East Indies,geonames:1636682,ID,0,120
1,1,East India,geonames:8373794,SY,33.51869,36.27763
1,1,Amsterdam,geonames:2759794,NL,52.37403,4.88969
1,1,India,geonames:1269750,IN,22,79
1,1,England,geonames:6269131,GB,52.16045,-0.70312
1,1,Europe,geonames:6255148,,48.69096,9.14062
1,1,East India,geonames:8373794,SY,33.51869,36.27763
1,1,London,geonames:2643743,GB,51.50853,-0.12574
1,1,East Indies,geonames:1636682,ID,0,120
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,East India,geonames:8373794,SY,33.51869,36.27763
1,1,East Indies,geonames:1636682,ID,0,120
1,1,East Indies,geonames:1636682,ID,0,120
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,India,geonames:1269750,IN,22,79
1,1,Bombay,geonames:1275339,IN,19.07283,72.88261
1,1,East India,geonames:8373794,SY,33.51869,36.27763
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Three Brothers,geonames:4133520,US,36.45257,-92.46572
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,East India,geonames:8373794,SY,33.51869,36.27763
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,East Indies,geonames:1636682,ID,0,120
1,1,Pedro Teixeira,geonames:3454340,BR,-21.70639,-43.74556
1,1,Sig,geonames:2479609,DZ,35.52832,-0.19369
1,1,Valle,geonames:3666313,CO,3.75,-76.5
1,1,Portugues,geonames:1089743,MZ,-26.04556,32.19194
1,1,Asia,geonames:6255147,,29.84064,89.29688
1,1,Stevens,geonames:4265333,US,38.01671,-87.43334
1,1,Arabia,geonames:3781575,CO,5.11167,-75.57064
1,1,India,geonames:1269750,IN,22,79
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,Turkey,geonames:298795,TR,39,35
,,,,,,
1,2,East India,geonames:1269750,IN,22,79
1,2,PERSIAN GULF,geonames:6915989,IR,27,51
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Europe,geonames:6255148,,48.69096,9.14062
1,2,Persia,geonames:130758,IR,32,53
1,2,Qazvin,geonames:119505,IR,36.26877,50.0041
1,2,Persia,geonames:130758,IR,32,53
1,2,Turkey,geonames:298795,TR,39,35
1,2,Persia,geonames:130758,IR,32,53
1,2,Europe,geonames:6255148,,48.69096,9.14062
1,2,Russia,geonames:2017370,RU,60,100
1,2,Germany,geonames:2921044,DE,51.5,10.5
1,2,Italy,geonames:3175395,IT,42.83333,12.83333
1,2,Spain,geonames:2510769,ES,40,-4
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Rome,geonames:3169070,IT,41.89193,12.51133
1,2,Persia,geonames:130758,IR,32,53
1,2,Spain,geonames:2510769,ES,40,-4
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Europe,geonames:6255148,,48.69096,9.14062
1,2,Europe,geonames:6255148,,48.69096,9.14062
1,2,Persia,geonames:130758,IR,32,53
1,2,Persia,geonames:130758,IR,32,53
1,2,Poland,geonames:798544,PL,52,20
1,2,Germany,geonames:2921044,DE,51.5,10.5
1,2,Italy,geonames:3175395,IT,42.83333,12.83333
1,2,Madrid,geonames:3117735,ES,40.4165,-3.70256
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Hampton Court,geonames:6620446,GB,51.4036,-0.33749
1,2,Great Britain,geonames:2635167,GB,54.75844,-2.69531
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,East India,geonames:1269750,IN,22,79
1,2,Turkey,geonames:298795,TR,39,35
1,2,England,geonames:6269131,GB,52.16045,-0.70312
1,2,Dover,geonames:4142290,US,39.15817,-75.52437
1,2,Persia,geonames:130758,IR,32,53
1,2,Arabia,geonames:4505381,US,38.65814,-82.47349
1,2,Persian Gulf,geonames:6915989,IR,27,51
1,2,Sind,geonames:1164807,PK,26.13333,68.76667
1,2,East India,geonames:1269750,IN,22,79
1,2,India,geonames:1269750,IN,22,79
1,2,Red Sea,geonames:361468,EG,27.18624,33.78845
